League	Year	GameDate	GameID	BoxScoreURL	PlayByPlayURL	HomeNameFull	HomeName3	AwayNameFull	AwayName3	HaveBoxScore	HavePlayByPlay	AnalyzedPlayByPlay
NBA	2010 playoffs	2010-04-17	20100417CHICLE	http://www.nba.com/games/20100417/CHICLE/boxscore.html	http://www.nba.com/games/20100417/CHICLE/gameinfo.html	Cleveland Cavaliers	CLE	Chicago Bulls	CHI	NULL	2010-04-18 23:04:55	2010-04-18 23:45:21
NBA	2010 playoffs	2010-04-17	20100417MIABOS	http://www.nba.com/games/20100417/MIABOS/boxscore.html	http://www.nba.com/games/20100417/MIABOS/gameinfo.html	Boston Celtics	BOS	Miami Heat	MIA	NULL	2010-04-18 23:05:01	2010-04-18 23:51:49
NBA	2010 playoffs	2010-04-17	20100417MILATL	http://www.nba.com/games/20100417/MILATL/boxscore.html	http://www.nba.com/games/20100417/MILATL/gameinfo.html	Atlanta Hawks	ATL	Milwaukee Bucks	MIL	NULL	2010-04-18 23:05:07	2010-04-18 23:54:46
NBA	2010 playoffs	2010-04-17	20100417UTADEN	http://www.nba.com/games/20100417/UTADEN/boxscore.html	http://www.nba.com/games/20100417/UTADEN/gameinfo.html	Denver Nuggets	DEN	Utah Jazz	UTA	NULL	2010-04-18 23:05:13	2010-04-18 23:55:27
NBA	2010 playoffs	2010-04-18	20100418CHAORL	http://www.nba.com/games/20100418/CHAORL/boxscore.html	http://www.nba.com/games/20100418/CHAORL/gameinfo.html	Orlando Magic	ORL	Charlotte Bobcats	CHA	NULL	2010-04-18 23:55:49	2010-04-18 23:57:30
NBA	2010 playoffs	2010-04-18	20100418OKCLAL	http://www.nba.com/games/20100418/OKCLAL/boxscore.html	http://www.nba.com/games/20100418/OKCLAL/gameinfo.html	Los Angeles Lakers	LAL	Oklahoma City Thunder	OKC	NULL	2010-04-18 23:55:55	2010-04-18 23:57:33
NBA	2010 playoffs	2010-04-18	20100418PORPHX	http://www.nba.com/games/20100418/PORPHX/boxscore.html	http://www.nba.com/games/20100418/PORPHX/gameinfo.html	Phoenix Suns	PHX	Portland Trailblazers	POR	NULL	2010-04-19 07:34:54	2010-04-19 07:42:29
NBA	2010 playoffs	2010-04-18	20100418SASDAL	http://www.nba.com/games/20100418/SASDAL/boxscore.html	http://www.nba.com/games/20100418/SASDAL/gameinfo.html	Dallas Maverics	DAL	San Antonio Spurs	SAS	NULL	2010-04-18 23:56:02	2010-04-18 23:57:36
NBA	2010 playoffs	2010-04-19	20100419CHICLE	http://www.nba.com/games/20100419/CHICLE/boxscore.html	http://www.nba.com/games/20100419/CHICLE/gameinfo.html	Cleveland Cavaliers	CLE	Chicago Bulls	CHI	NULL	2010-04-19 22:42:48	2010-04-19 22:45:08
NBA	2010 playoffs	2010-04-19	20100419UTADEN	http://www.nba.com/games/20100419/UTADEN/boxscore.html	http://www.nba.com/games/20100419/UTADEN/gameinfo.html	Denver Nuggets	DEN	Utah Jazz	UTA	NULL	2010-04-20 07:04:08	2010-04-20 07:13:39
NBA	2010 playoffs	2010-04-20	20100420MIABOS	http://www.nba.com/games/20100420/MIABOS/boxscore.html	http://www.nba.com/games/20100420/MIABOS/gameinfo.html	Boston Celtics	BOS	Miami Heat	MIA	NULL	2010-04-20 22:41:59	2010-04-20 22:55:56
NBA	2010 playoffs	2010-04-20	20100420MILATL	http://www.nba.com/games/20100420/MILATL/boxscore.html	http://www.nba.com/games/20100420/MILATL/gameinfo.html	Atlanta Hawks	ATL	Milwaukee Bucks	MIL	NULL	2010-04-20 22:42:05	2010-04-20 22:58:54
NBA	2010 playoffs	2010-04-20	20100420OKCLAL	http://www.nba.com/games/20100420/OKCLAL/boxscore.html	http://www.nba.com/games/20100420/OKCLAL/gameinfo.html	Los Angeles Lakers	LAL	Oklahoma City Thunder	OKC	NULL	2010-04-21 06:35:15	2010-04-21 06:56:37
NBA	2010 playoffs	2010-04-20	20100420PORPHX	http://www.nba.com/games/20100420/PORPHX/boxscore.html	http://www.nba.com/games/20100420/PORPHX/gameinfo.html	Phoenix Suns	PHX	Portland Trailblazers	POR	NULL	2010-04-21 06:35:21	2010-04-21 06:56:42
NBA	2010 playoffs	2010-04-21	20100421CHAORL	http://www.nba.com/games/20100421/CHAORL/boxscore.html	http://www.nba.com/games/20100421/CHAORL/gameinfo.html	Orlando Magic	ORL	Charlotte Bobcats	CHA	NULL	2010-04-22 07:18:24	2010-04-22 07:22:33
NBA	2010 playoffs	2010-04-21	20100421SASDAL	http://www.nba.com/games/20100421/SASDAL/boxscore.html	http://www.nba.com/games/20100421/SASDAL/gameinfo.html	Dallas Maverics	DAL	San Antonio Spurs	SAS	NULL	2010-04-22 07:18:30	2010-04-22 07:22:38
NBA	2010 playoffs	2010-04-22	20100422CLECHI	http://www.nba.com/games/20100422/CLECHI/boxscore.html	http://www.nba.com/games/20100422/CLECHI/gameinfo.html	Chicago Bulls	CHI	Cleveland Cavaliers	CLE	NULL	2010-04-22 23:20:12	2010-04-22 23:40:29
NBA	2010 playoffs	2010-04-22	20100422LALOKC	http://www.nba.com/games/20100422/LALOKC/boxscore.html	http://www.nba.com/games/20100422/LALOKC/gameinfo.html	Oklahoma City Thunder	OKC	Los Angeles Lakers	LAL	NULL	2010-04-23 00:20:34	2010-04-23 00:21:25
NBA	2010 playoffs	2010-04-22	20100422PHXPOR	http://www.nba.com/games/20100422/PHXPOR/boxscore.html	http://www.nba.com/games/20100422/PHXPOR/gameinfo.html	Portland Trailblazers	POR	Phoenix Suns	PHX	NULL	2010-04-23 07:28:21	2010-04-23 07:32:43
NBA	2010 playoffs	2010-04-23	20100423BOSMIA	http://www.nba.com/games/20100423/BOSMIA/boxscore.html	http://www.nba.com/games/20100423/BOSMIA/gameinfo.html	Miami Heat	MIA	Boston Celtics	BOS	NULL	2010-04-24 07:22:50	2010-04-24 07:33:09
NBA	2010 playoffs	2010-04-23	20100423DALSAS	http://www.nba.com/games/20100423/DALSAS/boxscore.html	http://www.nba.com/games/20100423/DALSAS/gameinfo.html	San Antonio Spurs	SAS	Dallas Maverics	DAL	NULL	2010-04-24 07:22:57	2010-04-24 07:33:56
NBA	2010 playoffs	2010-04-23	20100423DENUTA	http://www.nba.com/games/20100423/DENUTA/boxscore.html	http://www.nba.com/games/20100423/DENUTA/gameinfo.html	Utah Jazz	UTA	Denver Nuggets	DEN	NULL	2010-04-24 07:23:03	2010-04-24 07:34:02
NBA	2010 playoffs	2010-04-24	20100424ATLMIL	http://www.nba.com/games/20100424/ATLMIL/boxscore.html	http://www.nba.com/games/20100424/ATLMIL/gameinfo.html	Milwaukee Bucks	MIL	Atlanta Hawks	ATL	NULL	2010-04-25 11:30:51	2010-04-25 11:36:39
NBA	2010 playoffs	2010-04-24	20100424LALOKC	http://www.nba.com/games/20100424/LALOKC/boxscore.html	http://www.nba.com/games/20100424/LALOKC/gameinfo.html	Oklahoma City Thunder	OKC	Los Angeles Lakers	LAL	NULL	2010-04-25 11:30:58	2010-04-25 11:37:38
NBA	2010 playoffs	2010-04-24	20100424ORLCHA	http://www.nba.com/games/20100424/ORLCHA/boxscore.html	http://www.nba.com/games/20100424/ORLCHA/gameinfo.html	Charlotte Bobcats	CHA	Orlando Magic	ORL	NULL	2010-04-25 11:31:03	2010-04-25 11:37:42
NBA	2010 playoffs	2010-04-24	20100424PHXPOR	http://www.nba.com/games/20100424/PHXPOR/boxscore.html	http://www.nba.com/games/20100424/PHXPOR/gameinfo.html	Portland Trailblazers	POR	Phoenix Suns	PHX	NULL	2010-04-25 11:31:09	2010-04-25 11:37:46
NBA	2010 playoffs	2010-04-25	20100425BOSMIA	http://www.nba.com/games/20100425/BOSMIA/boxscore.html	http://www.nba.com/games/20100425/BOSMIA/gameinfo.html	Miami Heat	MIA	Boston Celtics	BOS	NULL	2010-04-25 19:43:35	2010-04-25 21:11:02
NBA	2010 playoffs	2010-04-25	20100425CLECHI	http://www.nba.com/games/20100425/CLECHI/boxscore.html	http://www.nba.com/games/20100425/CLECHI/gameinfo.html	Chicago Bulls	CHI	Cleveland Cavaliers	CLE	NULL	2010-04-25 19:43:42	2010-04-25 21:15:31
NBA	2010 playoffs	2010-04-25	20100425DALSAS	http://www.nba.com/games/20100425/DALSAS/boxscore.html	http://www.nba.com/games/20100425/DALSAS/gameinfo.html	San Antonio Spurs	SAS	Dallas Maverics	DAL	NULL	2010-04-26 00:30:38	2010-04-26 00:31:29
NBA	2010 playoffs	2010-04-25	20100425DENUTA	http://www.nba.com/games/20100425/DENUTA/boxscore.html	http://www.nba.com/games/20100425/DENUTA/gameinfo.html	Utah Jazz	UTA	Denver Nuggets	DEN	NULL	2010-04-26 00:35:48	2010-04-26 00:36:01
NBA	2010 playoffs	2010-04-26	20100426ATLMIL	http://www.nba.com/games/20100426/ATLMIL/boxscore.html	http://www.nba.com/games/20100426/ATLMIL/gameinfo.html	Milwaukee Bucks	MIL	Atlanta Hawks	ATL	NULL	2010-04-26 23:48:03	2010-04-26 23:49:46
NBA	2010 playoffs	2010-04-26	20100426ORLCHA	http://www.nba.com/games/20100426/ORLCHA/boxscore.html	http://www.nba.com/games/20100426/ORLCHA/gameinfo.html	Charlotte Bobcats	CHA	Orlando Magic	ORL	NULL	2010-04-26 23:48:09	2010-04-26 23:49:50
NBA	2010 playoffs	2010-04-26	20100426PORPHX	http://www.nba.com/games/20100426/PORPHX/boxscore.html	http://www.nba.com/games/20100426/PORPHX/gameinfo.html	Phoenix Suns	PHX	Portland Trailblazers	POR	NULL	2010-04-27 06:34:59	2010-04-27 06:37:53
NBA	2010 playoffs	2010-04-27	20100427CHICLE	http://www.nba.com/games/20100427/CHICLE/boxscore.html	http://www.nba.com/games/20100427/CHICLE/gameinfo.html	Cleveland Cavaliers	CLE	Chicago Bulls	CHI	NULL	2010-04-27 22:56:53	2010-04-27 23:01:17
NBA	2010 playoffs	2010-04-27	20100427MIABOS	http://www.nba.com/games/20100427/MIABOS/boxscore.html	http://www.nba.com/games/20100427/MIABOS/gameinfo.html	Boston Celtics	BOS	Miami Heat	MIA	NULL	2010-04-27 22:57:01	2010-04-27 23:05:42
NBA	2010 playoffs	2010-04-27	20100427OKCLAL	http://www.nba.com/games/20100427/OKCLAL/boxscore.html	http://www.nba.com/games/20100427/OKCLAL/gameinfo.html	Los Angeles Lakers	LAL	Oklahoma City Thunder	OKC	NULL	2010-04-28 07:33:19	2010-04-28 07:53:48
NBA	2010 playoffs	2010-04-27	20100427SASDAL	http://www.nba.com/games/20100427/SASDAL/boxscore.html	http://www.nba.com/games/20100427/SASDAL/gameinfo.html	Dallas Maverics	DAL	San Antonio Spurs	SAS	NULL	2010-04-28 07:33:27	2010-04-28 07:53:53
NBA	2010 playoffs	2010-04-28	20100428MILATL	http://www.nba.com/games/20100428/MILATL/boxscore.html	http://www.nba.com/games/20100428/MILATL/gameinfo.html	Atlanta Hawks	ATL	Milwaukee Bucks	MIL	NULL	2010-04-28 22:47:54	2010-04-28 22:52:23
NBA	2010 playoffs	2010-04-28	20100428UTADEN	http://www.nba.com/games/20100428/UTADEN/boxscore.html	http://www.nba.com/games/20100428/UTADEN/gameinfo.html	Denver Nuggets	DEN	Utah Jazz	UTA	NULL	2010-04-29 06:32:16	2010-04-29 06:46:00
NBA	2010 playoffs	2010-04-29	20100429DALSAS	http://www.nba.com/games/20100429/DALSAS/boxscore.html	http://www.nba.com/games/20100429/DALSAS/gameinfo.html	San Antonio Spurs	SAS	Dallas Maverics	DAL	NULL	2010-04-29 23:54:10	2010-04-29 23:57:36
NBA	2010 playoffs	2010-04-29	20100429PHXPOR	http://www.nba.com/games/20100429/PHXPOR/boxscore.html	http://www.nba.com/games/20100429/PHXPOR/gameinfo.html	Portland Trailblazers	POR	Phoenix Suns	PHX	NULL	2010-04-30 06:14:01	2010-04-30 06:30:14
NBA	2010 playoffs	2010-04-30	20100430ATLMIL	http://www.nba.com/games/20100430/ATLMIL/boxscore.html	http://www.nba.com/games/20100430/ATLMIL/gameinfo.html	Milwaukee Bucks	MIL	Atlanta Hawks	ATL	NULL	2010-05-01 09:32:33	2010-05-01 09:34:44
NBA	2010 playoffs	2010-04-30	20100430DENUTA	http://www.nba.com/games/20100430/DENUTA/boxscore.html	http://www.nba.com/games/20100430/DENUTA/gameinfo.html	Utah Jazz	UTA	Denver Nuggets	DEN	NULL	2010-05-01 09:32:42	2010-05-01 09:34:51
NBA	2010 playoffs	2010-04-30	20100430LALOKC	http://www.nba.com/games/20100430/LALOKC/boxscore.html	http://www.nba.com/games/20100430/LALOKC/gameinfo.html	Oklahoma City Thunder	OKC	Los Angeles Lakers	LAL	NULL	2010-05-01 09:32:50	2010-05-01 09:34:55
NBA	2010 playoffs	2010-05-01	20100501BOSCLE	http://www.nba.com/games/20100501/BOSCLE/boxscore.html	http://www.nba.com/games/20100501/BOSCLE/gameinfo.html	Cleveland Cavaliers	CLE	Boston Celtics	BOS	NULL	2010-05-02 07:47:20	2010-05-02 08:04:31
NBA	2010 playoffs	2010-05-02	20100502MILATL	http://www.nba.com/games/20100502/MILATL/boxscore.html	http://www.nba.com/games/20100502/MILATL/gameinfo.html	Atlanta Hawks	ATL	Milwaukee Bucks	MIL	NULL	2010-05-02 21:35:48	2010-05-02 21:38:56
NBA	2010 playoffs	2010-05-02	20100502UTALAL	http://www.nba.com/games/20100502/UTALAL/boxscore.html	http://www.nba.com/games/20100502/UTALAL/gameinfo.html	Los Angeles Lakers	LAL	Utah Jazz	UTA	NULL	2010-05-02 21:35:54	2010-05-02 21:39:02
NBA	2010 playoffs	2010-05-03	20100503BOSCLE	http://www.nba.com/games/20100503/BOSCLE/boxscore.html	http://www.nba.com/games/20100503/BOSCLE/gameinfo.html	Cleveland Cavaliers	CLE	Boston Celtics	BOS	NULL	2010-05-03 23:36:22	2010-05-03 23:50:12
NBA	2010 playoffs	2010-05-03	20100503SASPHX	http://www.nba.com/games/20100503/SASPHX/boxscore.html	http://www.nba.com/games/20100503/SASPHX/gameinfo.html	Phoenix Suns	PHX	San Antonio Spurs	SAS	NULL	2010-05-04 06:35:30	2010-05-04 06:39:17
NBA	2010 playoffs	2010-05-04	20100504ATLORL	http://www.nba.com/games/20100504/ATLORL/boxscore.html	http://www.nba.com/games/20100504/ATLORL/gameinfo.html	Orlando Magic	ORL	Atlanta Hawks	ATL	NULL	2010-05-04 23:28:28	2010-05-04 23:33:31
NBA	2010 playoffs	2010-05-04	20100504UTALAL	http://www.nba.com/games/20100504/UTALAL/boxscore.html	http://www.nba.com/games/20100504/UTALAL/gameinfo.html	Los Angeles Lakers	LAL	Utah Jazz	UTA	NULL	2010-05-05 06:23:37	2010-05-05 06:26:07
