PlayerID	PlayerTrueName	PlayerTeams	SimpleMin	SimplePossFor	SimplePossOpp	SimplePointsFor	SimplePointsOpp	SimpleOffRtg	SimpleDefRtg	SimpleOverallRtg	SimpleORebFor	SimpleORebOpp	SimpleDRebFor	SimpleDRebOpp	SimpleORebRate	SimpleDRebRate	WeightedMinOffCourt	WeightedPossForOffCourt	WeightedPossOppOffCourt	WeightedPointsForOffCourt	WeightedPointsOppOffCourt	WeightedOffRtgOffCourt	WeightedDefRtgOffCourt	WeightedOverallRtgOffCourt	WeightedORebForOffCourt	WeightedORebOppOffCourt	WeightedDRebForOffCourt	WeightedDRebOppOffCourt	WeightedORebRateOffCourt	WeightedDRebRateOffCourt	WeightedOverallRtgOnCourt	WeightedORebRateOnCourt	WeightedDRebRateOnCourt	WeightedOverallRtgOnCourtMinusOffCourt	WeightedORebRateOnCourtMinusOffCourt	WeightedDRebRateOnCourtMinusOffCourt	AdjustedPM	AdjustedPMStdErr
2	Thomas, Kurt	MIL	199.1833	352	351	391	391	111.08	111.396	-0.316466	62	71	120	132	0.319588	0.628272	136.8167	250	253	239	265	95.6	104.743	-9.1431	55	55	88	93	0.3716	0.6154	-0.316466	0.319588	0.628272	8.8266	-0.052	0.0129	1.25502	3.41019
3	Dampier, Erick	DAL	118.4833	219	215	207	228	94.5205	106.047	-11.526	43	32	85	85	0.335938	0.726496	169.5167	315	316	350	332	111.111	105.063	6.0478	51	64	114	111	0.3148	0.6404	-11.526	0.335938	0.726496	-17.5738	0.0211	0.0861	-3.65843	3.27344
4	Marion, Shawn	DAL	148.2333	273	277	293	276	107.326	99.639	7.68702	49	51	108	97	0.335616	0.679245	139.7667	261	254	264	284	101.149	111.811	-10.6616	45	45	91	99	0.3125	0.6691	7.68702	0.335616	0.679245	18.3486	0.0231	0.0101	0.387168	2.48052
5	Nowitzki, Dirk	DAL	233.1000	428	424	451	465	105.374	109.67	-4.29598	72	70	156	157	0.31441	0.690265	54.9000	106	107	106	95	100	88.785	11.215	22	26	43	39	0.3607	0.6232	-4.29598	0.31441	0.690265	-15.511	-0.0463	0.0671	1.44009	3.07053
6	Terry, Jason	DAL	173.6833	322	316	343	345	106.522	109.177	-2.65548	50	61	116	118	0.297619	0.655367	114.3167	212	215	214	215	100.943	100	0.9434	44	35	83	78	0.3607	0.7034	-2.65548	0.297619	0.655367	-3.5989	-0.0631	-0.048	-0.644871	2.57856
8	Nash, Steve	PHX	535.2167	1027	1025	1236	1168	120.351	113.951	6.39932	175	182	363	333	0.344488	0.666055	229.3500	413	425	467	460	113.075	108.235	4.8398	95	83	144	151	0.3862	0.6344	6.39932	0.344488	0.666055	1.5595	-0.0417	0.0317	14.5142	4.24475
10	Jones, James	MIA	8.6167	15	16	22	16	146.667	100	46.6667	4	7	6	3	0.571429	0.461538	231.3833	437	436	416	463	95.1945	106.193	-10.9982	69	59	147	162	0.2987	0.7136	46.6667	0.571429	0.461538	57.6649	0.2727	-0.2521	-0.0720713	4.09831
12	Diaw, Boris	CHA	152.0667	276	276	265	313	96.0145	113.406	-17.3913	49	55	101	99	0.331081	0.647436	39.9333	65	65	77	66	118.462	101.538	16.9231	14	9	23	20	0.4118	0.7188	-17.3913	0.331081	0.647436	-34.3144	-0.0807	-0.0714	-1.24842	3.11957
14	Daniels, Marquis	BOS	37.2833	71	70	71	68	100	97.1429	2.85714	13	8	25	25	0.342105	0.757576	1119.7167	2077	2078	2182	2119	105.055	101.973	3.0823	350	381	748	740	0.3211	0.6625	2.85714	0.342105	0.757576	-0.2252	0.021	0.0951	-1.80196	3.31536
16	Barbosa, Leandro	PHX	249.6000	458	467	521	481	113.755	102.998	10.7576	100	94	162	173	0.3663	0.632813	514.9667	982	983	1182	1147	120.367	116.684	3.683	170	171	345	311	0.3534	0.6686	10.7576	0.3663	0.632813	7.0746	0.0129	-0.0358	0.978868	3.12193
17	Diop, DeSagana	CHA	0.0000	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	192.0000	341	341	342	379	100.293	111.144	-10.8504	63	64	124	119	0.346154	0.659574	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
21	Martin, Kenyon	DEN	205.0000	414	414	466	492	112.56	118.841	-6.28019	73	69	126	137	0.347619	0.646154	83.0000	167	162	190	171	113.772	105.556	8.2169	32	30	60	51	0.3855	0.6667	-6.28019	0.347619	0.646154	-14.4971	-0.0379	-0.0205	-2.3069	2.68556
23	Camby, Marcus	POR	177.5333	322	321	345	382	107.143	119.003	-11.8603	60	64	105	122	0.32967	0.621302	110.4667	202	202	213	238	105.446	117.822	-12.3762	43	41	65	74	0.3675	0.6132	-11.8603	0.32967	0.621302	0.5159	-0.0378	0.0081	0.651893	2.80516
24	Ginobili, Manu	SAS	352.4667	668	668	715	737	107.036	110.329	-3.29341	122	119	238	241	0.336088	0.666667	127.5333	243	242	246	258	101.235	106.612	-5.377	37	35	90	95	0.2803	0.72	-3.29341	0.336088	0.666667	2.0836	0.0558	-0.0533	1.71477	2.63821
25	Anthony, Carmelo	DEN	253.5667	509	506	576	563	113.163	111.265	1.89824	97	83	168	164	0.371648	0.669323	34.4333	72	70	80	100	111.111	142.857	-31.746	8	16	18	24	0.25	0.5294	1.89824	0.371648	0.669323	33.6442	0.1216	0.1399	3.88209	2.86517
26	Duncan, Tim	SAS	372.6000	701	696	765	763	109.13	109.626	-0.496622	112	113	262	255	0.305177	0.698667	107.4000	210	214	196	232	93.3333	108.411	-15.0779	47	41	66	81	0.3672	0.6168	-0.496622	0.305177	0.698667	14.5813	-0.062	0.0819	4.36666	3.34995
29	Finley, Michael	BOS	107.5333	206	196	197	177	95.6311	90.3061	5.32495	24	36	70	79	0.23301	0.660377	1049.4667	1942	1952	2056	2010	105.87	102.971	2.8989	339	353	703	686	0.3307	0.6657	5.32495	0.23301	0.660377	2.426	-0.0977	-0.0053	-5.82201	3.04937
30	Parker, Tony	SAS	335.2167	634	632	720	714	113.565	112.975	0.589985	115	111	221	228	0.335277	0.665663	144.7833	277	278	241	281	87.0036	101.079	-14.0755	44	43	107	108	0.2895	0.7133	0.589985	0.335277	0.665663	14.6655	0.0458	-0.0476	-0.485749	2.87839
31	Miller, Andre	POR	210.3500	382	378	416	458	108.901	121.164	-12.2635	69	71	119	139	0.331731	0.626316	77.6500	142	145	142	162	100	111.724	-11.7241	34	34	51	57	0.3736	0.6	-12.2635	0.331731	0.626316	-0.5394	-0.0419	0.0263	2.98586	2.58521
34	Hilario, Nene	DEN	168.9667	342	336	389	385	113.743	114.583	-0.840643	60	43	113	107	0.359281	0.724359	119.0333	239	240	267	278	111.715	115.833	-4.1179	45	56	73	81	0.3571	0.5659	-0.840643	0.359281	0.724359	3.2773	0.0022	0.1585	6.31083	3.07183
36	Najera, Eduardo	DAL	36.0833	70	69	57	68	81.4286	98.5507	-17.1222	15	19	24	32	0.319149	0.55814	251.9167	464	462	500	492	107.759	106.493	1.2651	79	77	175	164	0.3251	0.6944	-17.1222	0.319149	0.55814	-18.3873	-0.006	-0.1363	-9.5296	3.82592
