Team	Min	PossFor	PossOpp	PointsFor	PointsOpp	OffRtg	DefRtg	OverallRtg	ORebFor	ORebOpp	DRebFor	DRebOpp	ORebRate	DRebRate
ATL	3971.0000	7583	7577	8054	8203	106.211	108.262	-2.05058	1192	1158	2630	2565	0.317274	0.694298
BOS	3951.0000	7498	7503	8245	7404	109.963	98.6805	11.2821	1023	1110	2804	2465	0.293291	0.716403
CHA	3976.0000	7612	7610	7959	8318	104.559	109.304	-4.74496	1086	1198	2593	2751	0.283034	0.683988
CHI	3961.0000	7704	7727	7983	8234	103.621	106.561	-2.93991	1287	1124	2653	2777	0.316683	0.702409
CLE	3971.0000	7466	7483	7903	7932	105.853	106	-0.147066	1311	1002	2713	2703	0.326607	0.730283
DAL	3946.0000	7447	7453	8234	7864	110.568	105.515	5.05346	1041	1052	2807	2583	0.287252	0.727391
DEN	3971.0000	8276	8255	9074	8770	109.642	106.239	3.4037	1117	1293	2914	2868	0.280301	0.692655
DET	3946.0000	7218	7219	7992	7386	110.723	102.313	8.40985	1185	1061	2631	2545	0.317694	0.712622
GSW	3956.0000	8195	8175	9105	8924	111.104	109.162	1.94225	1215	1274	2696	2982	0.289492	0.679093
HOU	3946.0000	7447	7467	7931	7547	106.499	101.071	5.42788	1221	1099	2840	2667	0.314043	0.720995
IND	3951.0000	8058	8060	8527	8642	105.82	107.221	-1.40054	1097	1152	2813	2981	0.269004	0.709458
LAC	3961.0000	7649	7624	7692	8288	100.562	108.709	-8.14717	976	1093	2691	2821	0.257045	0.711152
LAL	3956.0000	7908	7906	8904	8309	112.595	105.097	7.49745	1093	1178	2906	2702	0.288011	0.711557
MEM	3961.0000	7895	7885	8257	8766	104.585	111.173	-6.58793	1027	1081	2759	2880	0.262862	0.71849
MIA	3966.0000	7464	7478	7491	8200	100.362	109.655	-9.29325	936	1124	2520	2790	0.251208	0.691548
MIL	3971.0000	7603	7594	7956	8521	104.643	112.207	-7.5641	1241	1055	2553	2651	0.318859	0.707594
MIN	3946.0000	7568	7564	7839	8395	103.581	110.986	-7.40538	1184	1041	2590	2722	0.303123	0.713302
NJN	3966.0000	7606	7607	7857	8272	103.3	108.742	-5.44192	1101	1082	2707	2710	0.288901	0.714437
NOH	3961.0000	7439	7452	8270	7837	111.171	105.166	6.00446	1091	995	2680	2689	0.288624	0.729252
NYK	3976.0000	7628	7612	7948	8490	104.195	111.534	-7.33935	1234	1094	2637	2767	0.308423	0.706781
ORL	3956.0000	7695	7694	8567	8119	111.332	105.524	5.80825	955	1121	2865	2699	0.261357	0.718766
PHI	3951.0000	7489	7461	7923	7889	105.795	105.736	0.0586698	1304	1112	2544	2531	0.340026	0.695842
PHX	3956.0000	7970	8013	9026	8612	113.25	107.475	5.77433	866	1316	2873	2682	0.244081	0.685844
POR	3981.0000	7326	7322	7820	7900	106.743	107.894	-1.15091	1091	1150	2635	2656	0.291166	0.696169
SAC	3966.0000	7841	7855	8408	8593	107.231	109.395	-2.16407	1042	1149	2657	2660	0.281469	0.698108
SAS	3946.0000	7331	7327	7820	7427	106.67	101.365	5.30549	947	950	2761	2695	0.260022	0.744004
SEA	3966.0000	7964	7961	7999	8717	100.439	109.496	-9.05682	1220	1177	2873	2862	0.298873	0.709383
TOR	3966.0000	7485	7486	8215	7977	109.753	106.559	3.19393	954	1020	2662	2731	0.258887	0.722977
UTA	3941.0000	7707	7698	8710	8146	113.014	105.82	7.19445	1128	1018	2622	2419	0.318015	0.72033
WAS	3981.0000	7473	7477	8104	8131	108.444	108.747	-0.303093	1192	1078	2598	2673	0.308409	0.706746
