League	Year	UnitPlayer1ID	UnitPlayer2ID	UnitPlayer3ID	UnitPlayer4ID	UnitPlayer5ID	OpponentPlayer1ID	OpponentPlayer2ID	OpponentPlayer3ID	OpponentPlayer4ID	OpponentPlayer5ID	UnitPlayer1Name	UnitPlayer2Name	UnitPlayer3Name	UnitPlayer4Name	UnitPlayer5Name	OpponentPlayer1Name	OpponentPlayer2Name	OpponentPlayer3Name	OpponentPlayer4Name	OpponentPlayer5Name	Observations	ElapsedSecs	PossessionsUnit	PossessionsOpponent	PointsScoredUnit	PointsScoredOpponent	OffensiveRtgUnit	OffensiveRtgOpponent	OverallRtgUnitVsOpponent	OverallRtgOpponentVsUnit	OffensiveReboundsUnit	OffensiveReboundsOpponent	DefensiveReboundsUnit	DefensiveReboundsOpponent	OffensiveReboundingRateUnit	OffensiveReboundingRateOpponent	DefensiveReboundingRateUnit	DefensiveReboundingRateOpponent
NBA	2009 playoffs	1	222	5	178	6	28	26	29	793	30	Howard, Josh	Kidd, Jason	Nowitzki, Dirk	Singleton, James	Terry, Jason	Bowen, Bruce	Duncan, Tim	Finley, Michael	Hill, George	Parker, Tony	1	1	1	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	NULL	NULL
NBA	2009 playoffs	1	222	5	178	444	25	271	298	640	63	Howard, Josh	Kidd, Jason	Nowitzki, Dirk	Singleton, James	Wright, Antoine	Anthony, Carmelo	Billups, Chauncey	Carter, Anthony	Kleiza, Linas	Smith, J.R.	1	3	0	1	0	2	NULL	200	NULL	NULL	0	1	0	0	NULL	1	0	NULL
NBA	2009 playoffs	1	222	178	6	444	25	271	298	640	63	Howard, Josh	Kidd, Jason	Singleton, James	Terry, Jason	Wright, Antoine	Anthony, Carmelo	Billups, Chauncey	Carter, Anthony	Kleiza, Linas	Smith, J.R.	1	1	0	0	0	0	NULL	NULL	NULL	NULL	0	0	0	1	0	NULL	NULL	1
NBA	2009 playoffs	3	1	222	5	6	25	271	34	21	63	Dampier, Erick	Howard, Josh	Kidd, Jason	Nowitzki, Dirk	Terry, Jason	Anthony, Carmelo	Billups, Chauncey	Hilario, Nene	Martin, Kenyon	Smith, J.R.	2	167	7	6	5	6	71.4286	100	-28.5714	28.5714	1	1	4	1	0.5	0.2	0.8	0.5
NBA	2009 playoffs	3	1	222	5	6	25	271	34	212	21	Dampier, Erick	Howard, Josh	Kidd, Jason	Nowitzki, Dirk	Terry, Jason	Anthony, Carmelo	Billups, Chauncey	Hilario, Nene	Jones, Dahntay	Martin, Kenyon	4	1406	42	44	57	53	135.714	120.455	15.2597	-15.2597	5	7	13	13	0.277778	0.35	0.65	0.722222
NBA	2009 playoffs	3	1	222	5	6	25	271	298	34	21	Dampier, Erick	Howard, Josh	Kidd, Jason	Nowitzki, Dirk	Terry, Jason	Anthony, Carmelo	Billups, Chauncey	Carter, Anthony	Hilario, Nene	Martin, Kenyon	1	64	3	3	4	2	133.333	66.6667	66.6667	-66.6667	0	0	2	1	0	0	1	1
NBA	2009 playoffs	3	1	222	5	6	25	271	298	34	640	Dampier, Erick	Howard, Josh	Kidd, Jason	Nowitzki, Dirk	Terry, Jason	Anthony, Carmelo	Billups, Chauncey	Carter, Anthony	Hilario, Nene	Kleiza, Linas	2	48	0	1	0	3	NULL	300	NULL	NULL	0	3	0	0	NULL	1	0	NULL
NBA	2009 playoffs	3	1	222	5	6	25	298	34	212	640	Dampier, Erick	Howard, Josh	Kidd, Jason	Nowitzki, Dirk	Terry, Jason	Anthony, Carmelo	Carter, Anthony	Hilario, Nene	Jones, Dahntay	Kleiza, Linas	1	5	1	0	0	0	0	NULL	NULL	NULL	0	0	1	0	NULL	0	1	NULL
NBA	2009 playoffs	3	1	222	5	6	26	29	30	2	544	Dampier, Erick	Howard, Josh	Kidd, Jason	Nowitzki, Dirk	Terry, Jason	Duncan, Tim	Finley, Michael	Parker, Tony	Thomas, Kurt	Udoka, Ime	1	50	2	2	3	0	150	0	150	-150	0	1	2	0	NULL	0.333333	0.666667	NULL
NBA	2009 playoffs	3	1	222	5	6	26	29	793	30	2	Dampier, Erick	Howard, Josh	Kidd, Jason	Nowitzki, Dirk	Terry, Jason	Duncan, Tim	Finley, Michael	Hill, George	Parker, Tony	Thomas, Kurt	1	14	0	1	0	2	NULL	200	NULL	NULL	0	0	0	0	NULL	NULL	NULL	NULL
