League	Year	GameDate	GameID	BoxScoreURL	PlayByPlayURL	HomeNameFull	HomeName3	AwayNameFull	AwayName3	HaveBoxScore	HavePlayByPlay	AnalyzedPlayByPlay
NBA	2009 playoffs	2009-04-27	20090427ATLMIA	http://www.nba.com/games/20090427/ATLMIA/boxscore.html	http://www.nba.com/games/20090427/ATLMIA/playbyplay.html	Miami Heat	MIA	Atlanta Hawks	ATL	NULL	2009-04-30 22:37:46	2009-05-27 23:35:11
NBA	2009 playoffs	2009-04-27	20090427DENNOH	http://www.nba.com/games/20090427/DENNOH/boxscore.html	http://www.nba.com/games/20090427/DENNOH/playbyplay.html	New Orleans Hornets	NOH	Denver Nuggets	DEN	NULL	2009-04-30 22:37:56	2009-05-27 23:35:14
NBA	2009 playoffs	2009-04-27	20090427UTALAL	http://www.nba.com/games/20090427/UTALAL/boxscore.html	http://www.nba.com/games/20090427/UTALAL/playbyplay.html	Los Angeles Lakers	LAL	Utah Jazz	UTA	NULL	2009-04-30 22:44:12	2009-05-27 23:35:16
NBA	2009 playoffs	2009-04-28	20090428CHIBOS	http://www.nba.com/games/20090428/CHIBOS/boxscore.html	http://www.nba.com/games/20090428/CHIBOS/playbyplay.html	Boston Celtics	BOS	Chicago Bulls	CHI	NULL	2009-04-30 22:47:18	2009-05-27 23:35:20
NBA	2009 playoffs	2009-04-28	20090428DALSAS	http://www.nba.com/games/20090428/DALSAS/boxscore.html	http://www.nba.com/games/20090428/DALSAS/playbyplay.html	San Antonio Spurs	SAS	Dallas Maverics	DAL	NULL	2009-04-30 22:47:27	2009-05-27 23:35:23
NBA	2009 playoffs	2009-04-28	20090428HOUPOR	http://www.nba.com/games/20090428/HOUPOR/boxscore.html	http://www.nba.com/games/20090428/HOUPOR/playbyplay.html	Portland Trailblazers	POR	Houston Rockets	HOU	NULL	2009-04-30 22:47:36	2009-05-27 23:35:25
NBA	2009 playoffs	2009-04-28	20090428PHIORL	http://www.nba.com/games/20090428/PHIORL/boxscore.html	http://www.nba.com/games/20090428/PHIORL/playbyplay.html	Orlando Magic	ORL	Philadelphia 76ers	PHI	NULL	2009-04-30 22:47:45	2009-05-27 23:35:28
NBA	2009 playoffs	2009-04-29	20090429MIAATL	http://www.nba.com/games/20090429/MIAATL/boxscore.html	http://www.nba.com/games/20090429/MIAATL/playbyplay.html	Atlanta Hawks	ATL	Miami Heat	MIA	NULL	2009-04-30 22:58:03	2009-05-27 23:35:31
NBA	2009 playoffs	2009-04-29	20090429NOHDEN	http://www.nba.com/games/20090429/NOHDEN/boxscore.html	http://www.nba.com/games/20090429/NOHDEN/playbyplay.html	Denver Nuggets	DEN	New Orleans Hornets	NOH	NULL	2009-04-30 22:58:12	2009-05-27 23:35:34
NBA	2009 playoffs	2009-04-30	20090430BOSCHI	http://www.nba.com/games/20090430/BOSCHI/boxscore.html	http://www.nba.com/games/20090430/BOSCHI/playbyplay.html	Chicago Bulls	CHI	Boston Celtics	BOS	NULL	2009-05-03 14:52:13	2009-05-27 23:35:38
NBA	2009 playoffs	2009-04-30	20090430ORLPHI	http://www.nba.com/games/20090430/ORLPHI/boxscore.html	http://www.nba.com/games/20090430/ORLPHI/playbyplay.html	Philadelphia 76ers	PHI	Orlando Magic	ORL	NULL	2009-05-03 14:52:22	2009-05-27 23:35:41
NBA	2009 playoffs	2009-04-30	20090430PORHOU	http://www.nba.com/games/20090430/PORHOU/boxscore.html	http://www.nba.com/games/20090430/PORHOU/playbyplay.html	Houston Rockets	HOU	Portland Trailblazers	POR	NULL	2009-05-03 14:52:30	2009-05-27 23:35:44
NBA	2009 playoffs	2009-05-01	20090501ATLMIA	http://www.nba.com/games/20090501/ATLMIA/boxscore.html	http://www.nba.com/games/20090501/ATLMIA/playbyplay.html	Miami Heat	MIA	Atlanta Hawks	ATL	NULL	2009-05-03 15:44:17	2009-05-27 23:35:47
NBA	2009 playoffs	2009-05-02	20090502CHIBOS	http://www.nba.com/games/20090502/CHIBOS/boxscore.html	http://www.nba.com/games/20090502/CHIBOS/playbyplay.html	Boston Celtics	BOS	Chicago Bulls	CHI	NULL	2009-05-03 15:48:41	2009-05-27 23:35:50
NBA	2009 playoffs	2009-05-03	20090503DALDEN	http://www.nba.com/games/20090503/DALDEN/boxscore.html	http://www.nba.com/games/20090503/DALDEN/playbyplay.html	Denver Nuggets	DEN	Dallas Maverics	DAL	NULL	2009-05-03 23:29:03	2009-05-27 23:35:54
NBA	2009 playoffs	2009-05-03	20090503MIAATL	http://www.nba.com/games/20090503/MIAATL/boxscore.html	http://www.nba.com/games/20090503/MIAATL/playbyplay.html	Atlanta Hawks	ATL	Miami Heat	MIA	NULL	2009-05-03 23:29:12	2009-05-27 23:35:57
NBA	2009 playoffs	2009-05-04	20090504HOULAL	http://www.nba.com/games/20090504/HOULAL/boxscore.html	http://www.nba.com/games/20090504/HOULAL/playbyplay.html	Los Angeles Lakers	LAL	Houston Rockets	HOU	NULL	2009-05-05 06:50:43	2009-05-27 23:36:00
