PlayerID	PlayerTrueName	PlayerTeams	SimpleMin	SimplePossFor	SimplePossOpp	SimplePointsFor	SimplePointsOpp	SimpleOffRtg	SimpleDefRtg	SimpleOverallRtg	SimpleORebFor	SimpleORebOpp	SimpleDRebFor	SimpleDRebOpp	SimpleORebRate	SimpleDRebRate	WeightedMinOffCourt	WeightedPossForOffCourt	WeightedPossOppOffCourt	WeightedPointsForOffCourt	WeightedPointsOppOffCourt	WeightedOffRtgOffCourt	WeightedDefRtgOffCourt	WeightedOverallRtgOffCourt	WeightedORebForOffCourt	WeightedORebOppOffCourt	WeightedDRebForOffCourt	WeightedDRebOppOffCourt	WeightedORebRateOffCourt	WeightedDRebRateOffCourt	WeightedOverallRtgOnCourt	WeightedORebRateOnCourt	WeightedDRebRateOnCourt	WeightedOverallRtgOnCourtMinusOffCourt	WeightedORebRateOnCourtMinusOffCourt	WeightedDRebRateOnCourtMinusOffCourt	AdjustedPM	AdjustedPMStdErr
689	Afflalo, Arron	DET	66.2500	115	111	123	121	106.957	109.009	-2.05249	22	17	41	44	0.333333	0.706897	125.7500	215	215	189	253	87.907	117.674	-29.7674	30	39	71	88	0.2542	0.6455	-2.05249	0.333333	0.706897	27.7149	0.0791	0.0614	-2.02168	3.27842
691	Stuckey, Rodney	DET	128.0500	220	220	201	250	91.3636	113.636	-22.2727	28	37	77	90	0.237288	0.675439	63.9500	110	106	111	124	100.909	116.981	-16.072	24	19	35	42	0.3636	0.6481	-22.2727	0.237288	0.675439	-6.2007	-0.1263	0.0273	-5.71508	2.93385
695	Horford, Al	ATL	252.0500	440	441	441	491	100.227	111.338	-11.1106	62	79	140	177	0.259414	0.639269	275.9500	478	473	483	511	101.046	108.034	-6.9878	108	95	156	186	0.3673	0.6215	-11.1106	0.259414	0.639269	-4.1228	-0.1079	0.0178	-5.58157	3.08106
696	Law, Acie	ATL	27.8167	53	53	50	56	94.3396	105.66	-11.3208	12	4	14	22	0.352941	0.777778	500.1833	865	861	874	946	101.04	109.872	-8.8318	158	170	282	341	0.3166	0.6239	-11.3208	0.352941	0.777778	-2.489	0.0363	0.1539	-4.0538	4.12889
697	West, Mario	ATL	46.2833	87	87	76	104	87.3563	119.54	-32.1839	27	6	22	34	0.442623	0.785714	481.7167	831	827	848	898	102.046	108.585	-6.5395	143	168	274	329	0.303	0.6199	-32.1839	0.442623	0.785714	-25.6444	0.1396	0.1658	NULL	NULL
700	Anthony, Joel	MIA	88.2500	149	151	157	130	105.369	86.0927	19.2764	19	31	63	56	0.253333	0.670213	247.7500	435	435	460	481	105.747	110.575	-4.8276	68	79	160	146	0.3178	0.6695	19.2764	0.253333	0.670213	24.104	-0.0645	0.0007	-8.55938	3.46858
701	Cook, Daequan	MIA	160.8167	282	289	285	302	101.064	104.498	-3.43444	45	61	109	102	0.306122	0.641176	175.1833	302	297	332	309	109.934	104.04	5.8934	42	49	114	100	0.2958	0.6994	-3.43444	0.306122	0.641176	-9.3278	0.0103	-0.0582	-2.52259	2.72775
702	Gortat, Marcin	ORL	270.5500	503	522	573	529	113.917	101.341	12.5755	85	71	192	170	0.333333	0.730038	896.4500	1659	1646	1754	1754	105.726	106.561	-0.835	266	282	597	617	0.3012	0.6792	12.5755	0.333333	0.730038	13.4105	0.0321	0.0508	-0.070304	4.11013
711	Wright, Julian	NOH	32.2333	62	63	48	75	77.4194	119.048	-41.6283	9	7	22	27	0.25	0.758621	207.7667	387	388	373	467	96.3824	120.361	-23.9784	51	60	127	143	0.2629	0.6791	-41.6283	0.25	0.758621	-17.6499	-0.0129	0.0795	-2.74363	3.64876
722	Smith, Jason	PHI	0.0000	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	288.0000	532	531	531	577	99.812	108.663	-8.85087	74	86	189	195	0.275093	0.687273	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
