PlayerID	PlayerName	PlayerTrueName	League	TeamName3	Year	Comment	StartDate	EndDate
1	Howard	Howard, Josh	NBA	DAL	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
2	Thomas	Thomas, Kurt	NBA	SAS	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
3	Dampier	Dampier, Erick	NBA	DAL	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
5	Nowitzki	Nowitzki, Dirk	NBA	DAL	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
6	Terry	Terry, Jason	NBA	DAL	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
10	Jones	Jones, James	NBA	MIA	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
20	House	House, Eddie	NBA	BOS	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
21	K. Martin	Martin, Kenyon	NBA	DEN	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
21	Martin	Martin, Kenyon	NBA	DEN	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
24	Ginobili	Ginobili, Manu	NBA	SAS	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
25	Anthony	Anthony, Carmelo	NBA	DEN	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
26	Duncan	Duncan, Tim	NBA	SAS	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
28	Bowen	Bowen, Bruce	NBA	SAS	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
28	B. Bowen	Bowen, Bruce	NBA	SAS	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
29	Finley	Finley, Michael	NBA	SAS	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
30	W. Parker	Parker, Tony	NBA	SAS	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
30	Parker	Parker, Tony	NBA	SAS	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
30	T. Parker	Parker, Tony	NBA	SAS	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
31	A. Miller	Miller, Andre	NBA	PHI	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
31	Miller	Miller, Andre	NBA	PHI	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
33	Barry	Barry, Brent	NBA	HOU	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
34	Nene	Hilario, Nene	NBA	DEN	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
34	Hilario	Hilario, Nene	NBA	DEN	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
37	Oberto	Oberto, Fabricio	NBA	SAS	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
46	Iverson	Iverson, Allen	NBA	DET	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
50	S. Hunter	Hunter, Steven	NBA	DEN	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
50	Hunter	Hunter, Steven	NBA	DEN	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
51	Magloire	Magloire, Jamaal	NBA	MIA	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
52	Iguodala	Iguodala, Andre	NBA	PHI	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
54	Korver	Korver, Kyle	NBA	UTA	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
55	M. Williams	Williams, Mo	NBA	CLE	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
59	Salmons	Salmons, John	NBA	CHI	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
63	Smith	Smith, J.R.	NBA	DEN	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
63	E. Smith	Smith, J.R.	NBA	DEN	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
65	Miller	Miller, Brad	NBA	CHI	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
67	Stojakovic	Stojakovic, Peja	NBA	NOH	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
68	Bibby	Bibby, Mike	NBA	ATL	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
69	D. West	West, David	NBA	NOH	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
69	West	West, David	NBA	NOH	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
70	Paul	Paul, Chris	NBA	NOH	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
72	Claxton	Claxton, Speedy	NBA	ATL	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
73	Andersen	Andersen, Chris	NBA	DEN	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
75	Hart	Hart, Jason	NBA	DEN	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
76	R. Butler	Butler, Rasual	NBA	NOH	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
76	Butler	Butler, Rasual	NBA	NOH	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
83	Bass	Bass, Brandon	NBA	DAL	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
85	Price	Price, Ronnie	NBA	UTA	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
86	Johnson	Johnson, Joe	NBA	ATL	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
88	Pachulia	Pachulia, Zaza	NBA	ATL	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
93	Foyle	Foyle, Adonal	NBA	ORL	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
94	J. Smith	Smith, Josh	NBA	ATL	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
94	Smith	Smith, Josh	NBA	ATL	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
96	Lue	Lue, Tyronn	NBA	ORL	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
97	Williams	Williams, Marvin	NBA	ATL	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
98	Pietrus	Pietrus, Mickael	NBA	ORL	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
103	Fisher	Fisher, Derek	NBA	LAL	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
109	Ivey	Ivey, Royal	NBA	PHI	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
110	Hinrich	Hinrich, Kirk	NBA	CHI	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
114	Knight	Knight, Brevin	NBA	UTA	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
116	Rush	Rush, Kareem	NBA	PHI	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
118	Chandler	Chandler, Tyson	NBA	NOH	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
119	Gordon	Gordon, Ben	NBA	CHI	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
122	Deng	Deng, Luol	NBA	CHI	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
123	Ely	Ely, Melvin	NBA	NOH	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
125	Ti. Thomas	Thomas, Tim	NBA	CHI	2009 playoffs	SeasonStart	2009-04-17	2009-07-01
