Team	Min	PossFor	PossOpp	PointsFor	PointsOpp	OffRtg	DefRtg	OverallRtg	ORebFor	ORebOpp	DRebFor	DRebOpp	ORebRate	DRebRate
ATL	528.0000	918	914	924	1002	100.654	109.628	-8.97441	170	174	296	363	0.318949	0.629787
BOS	707.0000	1345	1345	1430	1430	106.32	106.32	0	221	216	489	489	0.311268	0.693617
CHI	371.0000	715	714	758	788	106.014	110.364	-4.35016	118	124	264	249	0.321526	0.680412
CLE	677.0000	1204	1207	1366	1247	113.455	103.314	10.1411	240	196	463	410	0.369231	0.70258
DAL	480.0000	903	905	1016	1025	112.514	113.26	-0.745826	141	136	331	305	0.316143	0.708779
DEN	720.0000	1390	1387	1633	1486	117.482	107.138	10.3443	231	226	485	477	0.326271	0.682138
DET	192.0000	330	326	312	374	94.5455	114.724	-20.1785	52	56	112	132	0.282609	0.666667
HOU	624.0000	1143	1140	1189	1208	104.024	105.965	-1.94042	184	191	429	412	0.308725	0.691935
LAL	1066.0000	2032	2032	2252	2095	110.827	103.1	7.72638	364	373	736	718	0.336414	0.663661
MIA	336.0000	584	586	617	611	105.651	104.266	1.38447	87	110	223	202	0.301038	0.66967
NOH	240.0000	449	451	421	542	93.7639	120.177	-26.4135	60	67	149	170	0.26087	0.689815
ORL	1167.0000	2162	2168	2327	2283	107.632	105.304	2.32739	351	353	789	787	0.308436	0.690893
PHI	288.0000	532	531	531	577	99.812	108.663	-8.85087	74	86	189	195	0.275093	0.687273
POR	288.0000	503	505	523	555	103.976	109.901	-5.92485	67	78	177	196	0.254753	0.694118
SAS	240.0000	433	432	452	482	104.388	111.574	-7.18608	63	59	153	169	0.271552	0.721698
UTA	240.0000	471	471	487	533	103.397	113.163	-9.76645	93	71	157	168	0.356322	0.688596
