PlayerID	PlayerTrueName	PlayerTeams	SimpleMin	SimplePossFor	SimplePossOpp	SimplePointsFor	SimplePointsOpp	SimpleOffRtg	SimpleDefRtg	SimpleOverallRtg	SimpleORebFor	SimpleORebOpp	SimpleDRebFor	SimpleDRebOpp	SimpleORebRate	SimpleDRebRate	WeightedMinOffCourt	WeightedPossForOffCourt	WeightedPossOppOffCourt	WeightedPointsForOffCourt	WeightedPointsOppOffCourt	WeightedOffRtgOffCourt	WeightedDefRtgOffCourt	WeightedOverallRtgOffCourt	WeightedORebForOffCourt	WeightedORebOppOffCourt	WeightedDRebForOffCourt	WeightedDRebOppOffCourt	WeightedORebRateOffCourt	WeightedDRebRateOffCourt	WeightedOverallRtgOnCourt	WeightedORebRateOnCourt	WeightedDRebRateOnCourt	WeightedOverallRtgOnCourtMinusOffCourt	WeightedORebRateOnCourtMinusOffCourt	WeightedDRebRateOnCourtMinusOffCourt	AdjustedPM	AdjustedPMStdErr
1	Howard, Josh	DAL	248.4500	482	479	518	527	107.469	110.021	-2.552	88	70	166	165	0.347826	0.70339	39.5500	83	85	73	104	87.9518	122.353	-34.4011	13	12	29	30	0.3023	0.7073	-2.552	0.347826	0.70339	31.8491	0.0455	-0.0039	NULL	NULL
2	Thomas, Kurt	PHX	211.4833	401	404	437	401	108.978	99.2574	9.72013	53	56	146	142	0.271795	0.722772	316.5167	634	632	708	689	111.672	109.019	2.6529	87	100	227	212	0.291	0.6942	9.72013	0.271795	0.722772	7.0672	-0.0192	0.0286	NULL	NULL
3	Dampier, Erick	DAL	37.9167	77	78	68	90	88.3117	115.385	-27.0729	17	16	24	32	0.346939	0.6	250.0833	488	486	523	541	107.172	111.317	-4.1447	84	66	171	163	0.3401	0.7215	-27.0729	0.346939	0.6	-22.9282	0.0068	-0.1215	NULL	NULL
4	Marion, Shawn	PHX	454.7667	892	895	985	911	110.426	101.788	8.6383	119	132	334	309	0.278037	0.716738	73.2333	143	141	160	179	111.888	126.95	-15.0622	21	24	39	45	0.3182	0.619	8.6383	0.278037	0.716738	23.7005	-0.0402	0.0977	NULL	NULL
5	Nowitzki, Dirk	DAL	238.6500	470	464	502	527	106.809	113.578	-6.76908	83	63	162	159	0.342975	0.72	49.3500	95	100	89	104	93.6842	104	-10.3158	18	19	33	36	0.3333	0.6346	-6.76908	0.342975	0.72	3.5467	0.0097	0.0854	NULL	NULL
6	Terry, Jason	DAL	229.2000	446	447	474	505	106.278	112.975	-6.69736	82	67	152	153	0.348936	0.694064	58.8000	119	117	117	126	98.3193	107.692	-9.373	19	15	43	42	0.3115	0.7414	-6.69736	0.348936	0.694064	2.6756	0.0374	-0.0473	NULL	NULL
7	Bell, Raja	PHX	437.8667	857	857	946	895	110.385	104.434	5.95099	110	132	307	291	0.274314	0.699317	90.1333	178	179	199	195	111.798	108.938	2.8592	30	24	66	63	0.3226	0.7333	5.95099	0.274314	0.699317	3.0918	-0.0483	-0.034	NULL	NULL
8	Nash, Steve	PHX	412.6667	809	803	903	846	111.619	105.355	6.26436	105	119	299	279	0.273438	0.715311	115.3333	226	233	242	244	107.08	104.721	2.3586	35	37	74	75	0.3182	0.6667	6.26436	0.273438	0.715311	3.9058	-0.0448	0.0486	NULL	NULL
10	Jones, James	PHX	170.7667	334	337	376	376	112.575	111.573	1.00215	46	50	111	115	0.285714	0.689441	357.2333	701	699	769	714	109.7	102.146	7.5545	94	106	262	239	0.2823	0.712	1.00215	0.285714	0.689441	-6.5523	0.0034	-0.0226	NULL	NULL
12	Diaw, Boris	PHX	234.7667	469	471	513	513	109.382	108.917	0.464466	63	72	165	159	0.283784	0.696203	293.2333	566	565	632	577	111.661	102.124	9.5369	77	84	208	195	0.2831	0.7123	0.464466	0.283784	0.696203	-9.0724	0.0007	-0.0161	NULL	NULL
15	Harris, Devin	DAL	163.0333	326	324	344	373	105.521	115.123	-9.60198	48	54	118	110	0.303797	0.686047	124.9667	239	240	247	258	103.347	107.5	-4.1527	53	28	77	85	0.3841	0.7333	-9.60198	0.303797	0.686047	-5.4493	-0.0803	-0.0473	NULL	NULL
16	Barbosa, Leandro	PHX	349.1833	686	691	740	731	107.872	105.789	2.08301	98	106	247	231	0.297872	0.699717	178.8167	349	345	405	359	116.046	104.058	11.9879	42	50	126	123	0.2545	0.7159	2.08301	0.297872	0.699717	-9.9049	0.0434	-0.0162	NULL	NULL
17	Diop, DeSagana	DAL	139.7000	267	271	292	296	109.363	109.225	0.138204	49	33	93	83	0.371212	0.738095	148.3000	298	293	299	335	100.336	114.335	-13.9989	52	49	102	112	0.3171	0.6755	0.138204	0.371212	0.738095	14.1371	0.0541	0.0626	NULL	NULL
20	House, Eddie	NJN	17.5000	31	33	24	35	77.4194	106.061	-28.6413	3	10	9	13	0.1875	0.473684	558.5000	1039	1035	1058	1025	101.829	99.0338	2.7949	124	129	399	381	0.2455	0.7557	-28.6413	0.1875	0.473684	-31.4362	-0.058	-0.282	NULL	NULL
21	Martin, Kenyon	DEN	0.0000	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	240.0000	440	442	441	471	100.227	106.561	-6.33381	80	71	164	160	0.333333	0.697872	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
22	Nesterovic, Rasho	TOR	71.4167	132	131	128	159	96.9697	121.374	-24.4043	20	19	43	48	0.294118	0.693548	216.5833	411	409	417	418	101.46	102.201	-0.7406	35	46	147	155	0.1842	0.7617	-24.4043	0.294118	0.693548	-23.6637	0.1099	-0.0682	NULL	NULL
23	Camby, Marcus	DEN	184.4000	343	345	360	360	104.956	104.348	0.608442	53	53	135	123	0.301136	0.718085	55.6000	97	97	81	111	83.5052	114.433	-30.9278	27	18	29	37	0.4219	0.617	0.608442	0.301136	0.718085	31.5362	-0.1208	0.1011	NULL	NULL
24	Ginobili, Manu	SAS	602.2667	1161	1141	1264	1174	108.872	102.892	5.97946	152	162	398	406	0.272401	0.710714	357.7333	626	643	649	660	103.674	102.644	1.0303	96	122	248	231	0.2936	0.6703	5.97946	0.272401	0.710714	4.9492	-0.0212	0.0404	NULL	NULL
25	Anthony, Carmelo	DEN	210.1833	391	393	396	420	101.279	106.87	-5.59146	63	60	144	140	0.310345	0.705882	29.8167	49	49	45	51	91.8367	104.082	-12.2449	17	11	20	20	0.4595	0.6452	-5.59146	0.310345	0.705882	6.6534	-0.1492	0.0607	NULL	NULL
26	Duncan, Tim	SAS	736.5500	1367	1359	1485	1404	108.632	103.311	5.32078	196	219	506	490	0.285714	0.697931	223.4500	420	425	428	430	101.905	101.176	0.7283	52	65	140	147	0.2613	0.6829	5.32078	0.285714	0.697931	4.5925	0.0244	0.015	NULL	NULL
28	Bowen, Bruce	SAS	688.6000	1263	1270	1336	1298	105.78	102.205	3.57516	172	196	477	458	0.273016	0.708767	271.4000	524	514	577	536	110.115	104.28	5.8343	76	88	169	179	0.298	0.6576	3.57516	0.273016	0.708767	-2.2591	-0.025	0.0512	NULL	NULL
29	Finley, Michael	SAS	537.8500	1003	1002	1108	1043	110.469	104.092	6.37678	139	169	361	355	0.281377	0.681132	422.1500	784	782	805	791	102.679	101.151	1.5277	109	115	285	282	0.2788	0.7125	6.37678	0.281377	0.681132	4.8491	0.0026	-0.0314	NULL	NULL
30	Parker, Tony	SAS	750.6167	1413	1396	1533	1449	108.493	103.797	4.69601	179	222	499	495	0.265579	0.692094	209.3833	374	388	380	385	101.604	99.2268	2.3775	69	62	147	142	0.327	0.7033	4.69601	0.265579	0.692094	2.3185	-0.0614	-0.0112	NULL	NULL
32	Horry, Robert	SAS	360.9667	681	667	700	666	102.79	99.8501	2.93994	94	107	247	242	0.279762	0.69774	599.0333	1106	1117	1213	1168	109.674	104.566	5.1087	154	177	399	395	0.2805	0.6927	2.93994	0.279762	0.69774	-2.1688	-0.0007	0.005	NULL	NULL
33	Barry, Brent	SAS	224.8500	419	417	433	433	103.341	103.837	-0.495642	61	72	149	161	0.274775	0.674208	735.1500	1368	1367	1480	1401	108.187	102.487	5.6999	187	212	497	476	0.2821	0.701	-0.495642	0.274775	0.674208	-6.1955	-0.0073	-0.0268	NULL	NULL
34	Hilario, Nene	DEN	179.1333	328	326	315	347	96.0366	106.442	-10.4051	61	47	119	119	0.338889	0.716867	60.8667	112	116	126	124	112.5	106.897	5.6034	19	24	45	41	0.3167	0.6522	-10.4051	0.338889	0.716867	-16.0085	0.0222	0.0647	NULL	NULL
