PlayerID	PlayerName	PlayerTrueName	League	TeamName3	Year	Position	Comment	StartDate	EndDate
2	Thomas	Thomas, Kurt	NBA	CHI	2011 playoffs	4.48	SeasonStart	2011-04-16	2011-07-01
3	Dampier	Dampier, Erick	NBA	MIA	2011 playoffs	4.99	SeasonStart	2011-04-16	2011-07-01
4	Marion	Marion, Shawn	NBA	DAL	2011 playoffs	3.5	SeasonStart	2011-04-16	2011-07-01
5	Nowitzki	Nowitzki, Dirk	NBA	DAL	2011 playoffs	4.02	SeasonStart	2011-04-16	2011-07-01
6	Terry	Terry, Jason	NBA	DAL	2011 playoffs	1.5	SeasonStart	2011-04-16	2011-07-01
10	Jones	Jones, James	NBA	MIA	2011 playoffs	2.99	SeasonStart	2011-04-16	2011-07-01
20	House	House, Eddie	NBA	MIA	2011 playoffs	1.5	SeasonStart	2011-04-16	2011-07-01
21	Martin	Martin, Kenyon	NBA	DEN	2011 playoffs	4.01	SeasonStart	2011-04-16	2011-07-01
23	Camby	Camby, Marcus	NBA	POR	2011 playoffs	4.51	SeasonStart	2011-04-16	2011-07-01
24	Ginobili	Ginobili, Manu	NBA	SAS	2011 playoffs	2.5	SeasonStart	2011-04-16	2011-07-01
25	Anthony	Anthony, Carmelo	NBA	NYK	2011 playoffs	3	SeasonStart	2011-04-16	2011-07-01
26	Duncan	Duncan, Tim	NBA	SAS	2011 playoffs	4.5	SeasonStart	2011-04-16	2011-07-01
30	Parker	Parker, Tony	NBA	SAS	2011 playoffs	1	SeasonStart	2011-04-16	2011-07-01
31	Miller	Miller, Andre	NBA	POR	2011 playoffs	1.02	SeasonStart	2011-04-16	2011-07-01
34	Nene	Hilario, Nene	NBA	DEN	2011 playoffs	4.51	SeasonStart	2011-04-16	2011-07-01
34	Hilario	Hilario, Nene	NBA	DEN	2011 playoffs	4.51	SeasonStart	2011-04-16	2011-07-01
40	Mohammed	Mohammed, Nazr	NBA	OKC	2011 playoffs	4.98	SeasonStart	2011-04-16	2011-07-01
47	Ford	Ford, T.J.	NBA	IND	2011 playoffs	1.01	SeasonStart	2011-04-16	2011-07-01
51	Magloire	Magloire, Jamaal	NBA	MIA	2011 playoffs	4.98	SeasonStart	2011-04-16	2011-07-01
52	Iguodala	Iguodala, Andre	NBA	PHI	2011 playoffs	2.5	SeasonStart	2011-04-16	2011-07-01
54	Korver	Korver, Kyle	NBA	CHI	2011 playoffs	2.99	SeasonStart	2011-04-16	2011-07-01
63	Smith	Smith, J.R.	NBA	DEN	2011 playoffs	2.01	SeasonStart	2011-04-16	2011-07-01
67	Stojakovic	Stojakovic, Peja	NBA	DAL	2011 playoffs	3.03	SeasonStart	2011-04-16	2011-07-01
68	Bibby	Bibby, Mike	NBA	MIA	2011 playoffs	1.01	SeasonStart	2011-04-16	2011-07-01
69	West	West, David	NBA	NOH	2011 playoffs	4	SeasonStart	2011-04-16	2011-07-01
70	Paul	Paul, Chris	NBA	NOH	2011 playoffs	1	SeasonStart	2011-04-16	2011-07-01
73	Andersen	Andersen, Chris	NBA	DEN	2011 playoffs	4.5	SeasonStart	2011-04-16	2011-07-01
76	Butler	Butler, Rasual	NBA	CHI	2011 playoffs	2.98	SeasonStart	2011-04-16	2011-07-01
83	Bass	Bass, Brandon	NBA	ORL	2011 playoffs	4.01	SeasonStart	2011-04-16	2011-07-01
86	Johnson	Johnson, Joe	NBA	ATL	2011 playoffs	2	SeasonStart	2011-04-16	2011-07-01
88	Pachulia	Pachulia, Zaza	NBA	ATL	2011 playoffs	5	SeasonStart	2011-04-16	2011-07-01
89	Murphy	Murphy, Troy	NBA	BOS	2011 playoffs	4.02	SeasonStart	2011-04-16	2011-07-01
90	J. Richardson	Richardson, Jason	NBA	ORL	2011 playoffs	2	SeasonStart	2011-04-16	2011-07-01
92	Dunleavy	Dunleavy, Mike	NBA	IND	2011 playoffs	3	SeasonStart	2011-04-16	2011-07-01
94	Smith	Smith, Josh	NBA	ATL	2011 playoffs	4	SeasonStart	2011-04-16	2011-07-01
95	Harrington	Harrington, Al	NBA	DEN	2011 playoffs	4	SeasonStart	2011-04-16	2011-07-01
97	Williams	Williams, Marvin	NBA	ATL	2011 playoffs	3	SeasonStart	2011-04-16	2011-07-01
103	Fisher	Fisher, Derek	NBA	LAL	2011 playoffs	1	SeasonStart	2011-04-16	2011-07-01
109	Ivey	Ivey, Royal	NBA	OKC	2011 playoffs	1.5	SeasonStart	2011-04-16	2011-07-01
110	Hinrich	Hinrich, Kirk	NBA	ATL	2011 playoffs	1.5	SeasonStart	2011-04-16	2011-07-01
111	Wallace	Wallace, Gerald	NBA	POR	2011 playoffs	3.5	SeasonStart	2011-04-16	2011-07-01
112	Nocioni	Nocioni, Andres	NBA	PHI	2011 playoffs	3.03	SeasonStart	2011-04-16	2011-07-01
113	Duhon	Duhon, Chris	NBA	ORL	2011 playoffs	0.99	SeasonStart	2011-04-16	2011-07-01
117	Okafor	Okafor, Emeka	NBA	NOH	2011 playoffs	5	SeasonStart	2011-04-16	2011-07-01
118	Chandler	Chandler, Tyson	NBA	DAL	2011 playoffs	4.97	SeasonStart	2011-04-16	2011-07-01
121	Songaila	Songaila, Darius	NBA	PHI	2011 playoffs	4.48	SeasonStart	2011-04-16	2011-07-01
