Team	Min	PossFor	PossOpp	PointsFor	PointsOpp	OffRtg	DefRtg	OverallRtg	ORebFor	ORebOpp	DRebFor	DRebOpp	ORebRate	DRebRate
ATL	576.0000	1026	1029	1035	1088	100.877	105.734	-4.85653	187	208	368	392	0.322971	0.638889
BOS	437.0000	809	804	852	840	105.315	104.478	0.837592	124	168	290	276	0.31	0.633188
CHI	773.0000	1403	1397	1480	1412	105.488	101.074	4.41451	311	230	521	493	0.386816	0.693742
DAL	1013.0000	1841	1850	2063	1942	112.059	104.973	7.08569	296	334	645	639	0.316578	0.658836
DEN	240.0000	475	475	487	511	102.526	107.579	-5.05263	81	94	169	187	0.302239	0.642586
IND	240.0000	453	454	451	488	99.5585	107.489	-7.93049	88	113	142	172	0.338462	0.556863
LAL	480.0000	870	871	932	945	107.126	108.496	-1.36954	169	123	307	308	0.354298	0.713953
MEM	649.0000	1225	1226	1282	1291	104.653	105.302	-0.648733	249	214	424	440	0.361393	0.664577
MIA	1018.0000	1828	1832	1948	1892	106.565	103.275	3.28944	320	327	690	642	0.33264	0.678466
NOH	288.0000	517	514	536	579	103.675	112.646	-8.97087	79	102	167	187	0.296992	0.620818
NYK	192.0000	363	364	363	397	100	109.066	-9.06593	88	72	112	138	0.389381	0.608696
OKC	841.0000	1611	1609	1742	1710	108.132	106.277	1.8544	304	311	589	534	0.362769	0.654444
ORL	288.0000	519	518	532	521	102.505	100.579	1.92567	111	100	198	190	0.368771	0.66443
PHI	240.0000	430	429	433	470	100.698	109.557	-8.85944	83	86	156	173	0.324219	0.644628
POR	288.0000	505	505	529	560	104.752	110.891	-6.13861	80	93	178	180	0.307692	0.656827
SAS	293.0000	557	555	566	585	101.616	105.405	-3.78961	92	87	199	204	0.310811	0.695804
