Team	Min	PossFor	PossOpp	PointsFor	PointsOpp	OffRtg	DefRtg	OverallRtg	ORebFor	ORebOpp	DRebFor	DRebOpp	ORebRate	DRebRate
ATL	3893.0000	7298	7296	7958	7824	109.044	107.237	1.80673	1051	1129	2568	2615	0.286688	0.694617
BOS	3736.0000	7037	7051	7735	7185	109.919	101.9	8.01856	980	984	2598	2293	0.299419	0.725293
CHA	3938.0000	7264	7266	7583	7697	104.392	105.932	-1.54022	1103	1054	2505	2479	0.307929	0.703849
CHI	3938.0000	7657	7660	8270	8275	108.006	108.029	-0.0229743	1178	1204	2634	2636	0.308862	0.686295
CLE	3956.0000	7340	7343	8223	7491	112.03	102.016	10.0144	1074	1079	2752	2552	0.296194	0.71835
DAL	3865.0000	7395	7407	8144	7983	110.128	107.776	2.35204	1033	1037	2686	2601	0.28426	0.721461
DEN	3898.0000	7687	7690	8465	8196	110.121	106.58	3.54101	1094	1198	2698	2546	0.300549	0.692505
DET	3933.0000	7145	7154	7649	7681	107.054	107.367	-0.312624	1133	1005	2625	2597	0.303753	0.72314
GSW	3779.0000	7798	7793	8469	8774	108.605	112.588	-3.98345	1073	1305	2544	2743	0.281184	0.660951
HOU	3769.0000	7128	7115	7685	7386	107.814	103.809	4.0054	1045	1021	2685	2464	0.297806	0.724501
IND	3966.0000	7979	7997	8617	8708	107.996	108.891	-0.894845	1114	1111	2829	2859	0.280393	0.71802
LAC	3928.0000	7577	7559	7707	8411	101.716	111.271	-9.55561	1056	1162	2567	2805	0.273504	0.688388
LAL	3764.0000	7429	7426	8358	7746	112.505	104.309	8.19586	1136	1112	2677	2506	0.311917	0.706519
MEM	3913.0000	7362	7381	7599	8029	103.219	108.779	-5.56006	1037	1006	2482	2566	0.287816	0.711583
MIA	3991.0000	7489	7484	8061	8040	107.638	107.429	0.208687	1022	1106	2583	2756	0.270514	0.70019
MIL	3956.0000	7683	7680	8142	8231	105.974	107.174	-1.20025	1163	1038	2532	2716	0.29982	0.709244
MIN	3961.0000	7594	7587	8019	8422	105.597	111.006	-5.40914	1213	979	2649	2720	0.308416	0.730154
NJN	3966.0000	7446	7450	8044	8244	108.031	110.658	-2.62656	1051	1067	2618	2721	0.278632	0.710448
NOH	3807.0000	6986	6992	7605	7466	108.861	106.779	2.0814	935	988	2508	2502	0.27204	0.717391
NYK	3817.0000	7717	7716	8317	8495	107.775	110.096	-2.32086	1073	1099	2635	2883	0.271234	0.705678
OKC	3961.0000	7785	7764	7952	8452	102.145	108.861	-6.71626	1186	1062	2704	2716	0.303947	0.718003
ORL	3946.0000	7574	7605	8286	7737	109.401	101.736	7.66488	1014	1092	2917	2771	0.2679	0.727613
PHI	3951.0000	7463	7446	7987	7981	107.021	107.185	-0.163761	1261	1138	2513	2512	0.334217	0.688305
PHX	3951.0000	7927	7928	8974	8816	113.208	111.201	2.00722	1057	1211	2712	2511	0.296244	0.691308
POR	3918.0000	7100	7112	8047	7604	113.338	106.918	6.42014	1250	960	2498	2367	0.34559	0.722383
SAC	3981.0000	7850	7842	8248	8966	105.07	114.333	-9.26301	1063	1201	2547	2771	0.277256	0.679562
SAS	3880.0000	7143	7119	7764	7442	108.694	104.537	4.15667	863	917	2726	2662	0.244823	0.748284
TOR	3913.0000	7540	7554	8028	8264	106.472	109.399	-2.92685	968	1053	2678	2700	0.263904	0.71777
UTA	3880.0000	7574	7560	8263	8072	109.097	106.772	2.32442	1106	1073	2549	2499	0.306796	0.703755
WAS	3845.0000	7334	7324	7694	8275	104.909	112.985	-8.07606	1114	1055	2462	2612	0.29898	0.700028
