PlayerID	PlayerName	PlayerTrueName	League	TeamName3	Year	Position	Comment	StartDate	EndDate
69	West	West, David	NBA	NOH	2009-2010	4	SeasonStart	2009-10-26	2010-07-01
70	Paul	Paul, Chris	NBA	NOH	2009-2010	1	SeasonStart	2009-10-26	2010-07-01
72	Claxton	Claxton, Speedy	NBA	GSW	2009-2010	1	SeasonStart	2009-10-26	2010-07-01
73	Andersen	Andersen, Chris	NBA	DEN	2009-2010	4.6	SeasonStart	2009-10-26	2010-07-01
74	Thomas	Thomas, Kenny	NBA	SAC	2009-2010	4	SeasonStart	2009-10-26	2010-07-01
75	Hart	Hart, Jason	NBA	MIN	2009-2010	1.2	SeasonStart	2009-10-26	2010-07-01
75	Hart	Hart, Jason	NBA	NOH	2009-2010	1.2	20100205PHINOH	2010-02-05	2010-07-01
76	Butler	Butler, Rasual	NBA	LAC	2009-2010	2.6	SeasonStart	2009-10-26	2010-07-01
77	Martin	Martin, Kevin	NBA	SAC	2009-2010	2	SeasonStart	2009-10-26	2010-02-18
77	Martin	Martin, Kevin	NBA	HOU	2009-2010	2	20100220INDHOU	2010-02-18	2010-07-01
78	Skinner	Skinner, Brian	NBA	LAC	2009-2010	4.2	SeasonStart	2009-10-26	2010-07-01
79	Mason	Mason, Desmond	NBA	SAC	2009-2010	2.2	SeasonStart	2009-10-26	2010-07-01
80	Garcia	Garcia, Francisco	NBA	SAC	2009-2010	3	SeasonStart	2009-10-26	2010-07-01
83	Bass	Bass, Brandon	NBA	ORL	2009-2010	4.6	SeasonStart	2009-10-26	2010-07-01
85	Price	Price, Ronnie	NBA	UTA	2009-2010	1.2	SeasonStart	2009-10-26	2010-07-01
86	Johnson	Johnson, Joe	NBA	ATL	2009-2010	2	SeasonStart	2009-10-26	2010-07-01
87	B. Davis	Davis, Baron	NBA	LAC	2009-2010	1	SeasonStart	2009-10-26	2010-07-01
88	Pachulia	Pachulia, Zaza	NBA	ATL	2009-2010	4.8	SeasonStart	2009-10-26	2010-07-01
89	Murphy	Murphy, Troy	NBA	IND	2009-2010	4.2	SeasonStart	2009-10-26	2010-07-01
90	Richardson	Richardson, Jason	NBA	PHX	2009-2010	2	SeasonStart	2009-10-26	2010-07-01
92	Dunleavy	Dunleavy, Mike	NBA	IND	2009-2010	2.6	SeasonStart	2009-10-26	2010-07-01
93	Foyle	Foyle, Adonal	NBA	ORL	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
94	Josh Smith	Smith, Josh	NBA	ATL	2009-2010	3.8	SeasonStart	2009-10-26	2010-07-01
95	Harrington	Harrington, Al	NBA	NYK	2009-2010	4.2	SeasonStart	2009-10-26	2010-07-01
97	Williams	Williams, Marvin	NBA	ATL	2009-2010	3.4	SeasonStart	2009-10-26	2010-07-01
98	Pietrus	Pietrus, Mickael	NBA	ORL	2009-2010	2.6	SeasonStart	2009-10-26	2010-07-01
101	Biedrins	Biedrins, Andris	NBA	GSW	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
103	Fisher	Fisher, Derek	NBA	LAL	2009-2010	1	SeasonStart	2009-10-26	2010-07-01
109	Ivey	Ivey, Royal	NBA	MIL	2009-2010	2	20100220CHAMIL	2010-02-18	2010-07-01
109	Ivey	Ivey, Royal	NBA	PHI	2009-2010	2	SeasonStart	2009-10-26	2010-02-18
110	Hinrich	Hinrich, Kirk	NBA	CHI	2009-2010	1.6	SeasonStart	2009-10-26	2010-07-01
111	Wallace	Wallace, Gerald	NBA	CHA	2009-2010	3.4	SeasonStart	2009-10-26	2010-07-01
112	Nocioni	Nocioni, Andres	NBA	SAC	2009-2010	3.8	SeasonStart	2009-10-26	2010-07-01
113	Duhon	Duhon, Chris	NBA	NYK	2009-2010	1.6	SeasonStart	2009-10-26	2010-07-01
115	Brezec	Brezec, Primoz	NBA	PHI	2009-2010	5	SeasonStart	2009-10-26	2010-02-18
115	Brezec	Brezec, Primoz	NBA	MIL	2009-2010	5	20100224NOHMIL	2010-02-18	2010-07-01
116	Rush	Rush, Kareem	NBA	LAC	2009-2010	2.4	SeasonStart	2009-10-26	2010-07-01
