PlayerID	PlayerName	PlayerTrueName	League	TeamName3	Year	GameIDFound
63	Smith	Smith, J.R.	NBA	DEN	2006-2007	20061102DENLAC
64	Abdur-Rahim	Abdur-Rahim, Shareef	NBA	SAC	2006-2007	Season Start
65	B. Miller	Miller, Brad	NBA	SAC	2006-2007	Season Start
65	Miller	Miller, Brad	NBA	SAC	2006-2007	Season Start
66	C. Brown	Brown, Collier (P.J.)	NBA	CHI	2006-2007	20061119CHILAL
66	Brown	Brown, Collier (P.J.)	NBA	CHI	2006-2007	Season Start
66	P. Brown	Brown, Collier (P.J.)	NBA	CHI	2006-2007	Season Start
67	Stojakovic	Stojakovic, Peja	NBA	NOK	2006-2007	Season Start
68	Bibby	Bibby, Mike	NBA	SAC	2006-2007	Season Start
68	M. Bibby	Bibby, Mike	NBA	SAC	2006-2007	Season Start
69	West	West, David	NBA	NOK	2006-2007	Season Start
69	D. West	West, David	NBA	NOK	2006-2007	Season Start
70	Paul	Paul, Chris	NBA	NOK	2006-2007	Season Start
71	Nachbar	Nachbar, Bostjan	NBA	NJN	2006-2007	Season Start
72	Claxton	Claxton, Speedy	NBA	ATL	2006-2007	Season Start
74	Thomas	Thomas, Kenny	NBA	SAC	2006-2007	20061101SACMIN
74	K. Thomas	Thomas, Kenny	NBA	SAC	2006-2007	Season Start
75	Hart	Hart, Jason	NBA	LAC	2006-2007	20070305SASLAC
75	Hart	Hart, Jason	NBA	SAC	2006-2007	Season Start
76	R. Butler	Butler, Rasual	NBA	NOK	2006-2007	Season Start
76	Butler	Butler, Rasual	NBA	NOK	2006-2007	Season Start
77	K. Martin	Martin, Kevin	NBA	SAC	2006-2007	Season Start
77	Martin	Martin, Kevin	NBA	SAC	2006-2007	Season Start
78	Skinner	Skinner, Brian	NBA	MIL	2006-2007	Season Start
79	Mason	Mason, Desmond	NBA	NOK	2006-2007	Season Start
80	Garcia	Garcia, Francisco	NBA	SAC	2006-2007	Season Start
82	Williamson	Williamson, Corliss	NBA	SAC	2006-2007	Season Start
83	Bass	Bass, Brandon	NBA	NOK	2006-2007	Season Start
85	Price	Price, Ronnie	NBA	SAC	2006-2007	Season Start
86	JohnsonNotAlone	Johnson, Joe	NBA	ATL	2006-2007	Season Start
86	J. Johnson	Johnson, Joe	NBA	ATL	2006-2007	Season Start
87	Davis	Davis, Baron	NBA	GSW	2006-2007	Season Start
87	B. Davis	Davis, Baron	NBA	GSW	2006-2007	Season Start
88	Pachulia	Pachulia, Zaza	NBA	ATL	2006-2007	Season Start
89	Murphy	Murphy, Troy	NBA	IND	2006-2007	Transaction Li
89	Murphy	Murphy, Troy	NBA	GSW	2006-2007	Season Start
90	Richardson	Richardson, Jason	NBA	GSW	2006-2007	Season Start
90	J. Richardson	Richardson, Jason	NBA	GSW	2006-2007	Season Start
91	Childress	Childress, Josh	NBA	ATL	2006-2007	Season Start
92	Dunleavy	Dunleavy, Mike	NBA	GSW	2006-2007	Season Start
92	Dunleavy	Dunleavy, Mike	NBA	IND	2006-2007	Transaction Li
92	M. Dunleavy	Dunleavy, Mike	NBA	GSW	2006-2007	Season Start
93	Foyle	Foyle, Adonal	NBA	GSW	2006-2007	Season Start
94	Smith	Smith, Josh	NBA	ATL	2006-2007	20061101ATLPHI
94	J. Smith	Smith, Josh	NBA	ATL	2006-2007	Season Start
95	Harrington	Harrington, Al	NBA	IND	2006-2007	Season Start
95	Harrington	Harrington, Al	NBA	GSW	2006-2007	Transaction Li
95	A. Harrington	Harrington, Al	NBA	IND	2006-2007	Season Start
96	Lue	Lue, Tyronn	NBA	ATL	2006-2007	Season Start
97	M. Williams	Williams, Marvin	NBA	ATL	2006-2007	Season Start
98	Pietrus	Pietrus, Mickael	NBA	GSW	2006-2007	Season Start
100	Stoudamire	Stoudamire, Salim	NBA	ATL	2006-2007	Season Start
100	C. Stoudamire	Stoudamire, Salim	NBA	ATL	2006-2007	Season Start
100	S. Stoudamire	Stoudamire, Salim	NBA	ATL	2006-2007	Season Start
101	Biedrins	Biedrins, Andris	NBA	GSW	2006-2007	Season Start
102	Batista	Batista, Esteban	NBA	ATL	2006-2007	Season Start
103	Fisher	Fisher, Derek	NBA	UTA	2006-2007	Season Start
107	Cabarkapa	Cabarkapa, Zarko	NBA	GSW	2006-2007	Season Start
109	Ivey	Ivey, Royal	NBA	ATL	2006-2007	Season Start
110	Hinrich	Hinrich, Kirk	NBA	CHI	2006-2007	Season Start
111	G. Wallace	Wallace, Gerald	NBA	CHA	2006-2007	Season Start
111	Wallace	Wallace, Gerald	NBA	CHA	2006-2007	Season Start
112	Nocioni	Nocioni, Andres	NBA	CHI	2006-2007	Season Start
113	Duhon	Duhon, Chris	NBA	CHI	2006-2007	Season Start
114	Knight	Knight, Brevin	NBA	CHA	2006-2007	Season Start
115	Brezec	Brezec, Primoz	NBA	CHA	2006-2007	Season Start
116	Rush	Rush, Kareem	NBA	SEA	2006-2007	Season Start
117	Okafor	Okafor, Emeka	NBA	CHA	2006-2007	Season Start
118	Chandler	Chandler, Tyson	NBA	NOK	2006-2007	Season Start
119	Gordon	Gordon, Ben	NBA	CHI	2006-2007	Season Start
120	Sweetney	Sweetney, Michael	NBA	CHI	2006-2007	Season Start
121	Songaila	Songaila, Darius	NBA	WAS	2006-2007	Season Start
122	Deng	Deng, Luol	NBA	CHI	2006-2007	Season Start
123	Ely	Ely, Melvin	NBA	SAS	2006-2007	20070303SASHOU
123	Ely	Ely, Melvin	NBA	CHA	2006-2007	Season Start
124	O. Harrington	Harrington, Othella	NBA	CHA	2006-2007	Season Start
124	Harrington	Harrington, Othella	NBA	CHA	2006-2007	Season Start
125	Thomas	Thomas, Tim	NBA	LAC	2006-2007	20061102DENLAC
125	T. Thomas	Thomas, Tim	NBA	LAC	2006-2007	Season Start
126	Felton	Felton, Raymond	NBA	CHA	2006-2007	Season Start
127	May	May, Sean	NBA	CHA	2006-2007	Season Start
128	Carroll	Carroll, Matt	NBA	CHA	2006-2007	Season Start
129	JonesNotStarting	Jones, Jumaine	NBA	PHX	2006-2007	20061111MEMPHX
129	Ju. Jones	Jones, Jumaine	NBA	PHX	2006-2007	Season Start
130	M. Allen	Allen, Malik	NBA	CHI	2006-2007	Season Start
130	Allen	Allen, Malik	NBA	CHI	2006-2007	Season Start
131	Piatkowski	Piatkowski, Eric	NBA	PHX	2006-2007	Season Start
132	Okur	Okur, Mehmet	NBA	UTA	2006-2007	Season Start
133	Giricek	Giricek, Gordan	NBA	UTA	2006-2007	Season Start
134	McLeod	McLeod, Keith	NBA	IND	2006-2007	Transaction Li
134	McLeod	McLeod, Keith	NBA	GSW	2006-2007	Season Start
136	Kirilenko	Kirilenko, Andrei	NBA	UTA	2006-2007	Season Start
137	Collins	Collins, Jarron	NBA	UTA	2006-2007	Season Start
137	J. Collins	Collins, Jarron	NBA	UTA	2006-2007	Season Start
138	Harpring	Harpring, Matt	NBA	UTA	2006-2007	Season Start
139	D. Williams	Williams, Deron	NBA	UTA	2006-2007	Season Start
139	Williams	Williams, Deron	NBA	UTA	2006-2007	Season Start
140	Brown	Brown, Devin	NBA	NOK	2006-2007	Transaction Li
140	D. Brown	Brown, Devin	NBA	NOK	2006-2007	Transaction Li
141	Humphries	Humphries, Kris	NBA	TOR	2006-2007	Season Start
143	J. O'Neal	O'Neal, Jermaine	NBA	IND	2006-2007	Season Start
143	O'Neal	O'Neal, Jermaine	NBA	IND	2006-2007	Season Start
144	Battie	Battie, Tony	NBA	ORL	2006-2007	Season Start
145	Artest	Artest, Ron	NBA	SAC	2006-2007	Season Start
146	Francis	Francis, Steve	NBA	NYK	2006-2007	Season Start
147	S. Jackson	Jackson, Stephen	NBA	IND	2006-2007	Season Start
147	Jackson	Jackson, Stephen	NBA	IND	2006-2007	Season Start
147	Jackson	Jackson, Stephen	NBA	GSW	2006-2007	Transaction Li
148	Stevenson	Stevenson, DeShawn	NBA	WAS	2006-2007	Season Start
149	Howard	Howard, Dwight	NBA	ORL	2006-2007	Season Start
149	D. Howard	Howard, Dwight	NBA	ORL	2006-2007	Season Start
150	Croshere	Croshere, Austin	NBA	DAL	2006-2007	Season Start
151	Turkoglu	Turkoglu, Hedo	NBA	ORL	2006-2007	Season Start
152	Tinsley	Tinsley, Jamaal	NBA	IND	2006-2007	Season Start
153	Jasikevicius	Jasikevicius, Sarunas	NBA	GSW	2006-2007	Transaction Li
153	Jasikevicius	Jasikevicius, Sarunas	NBA	IND	2006-2007	Season Start
154	Jones	Jones, Fred	NBA	POR	2006-2007	20070226PORSEA
154	F. Jones	Jones, Fred	NBA	TOR	2006-2007	Season Start
154	Jones	Jones, Fred	NBA	TOR	2006-2007	Season Start
155	Granger	Granger, Danny	NBA	IND	2006-2007	Season Start
156	Outlaw	Outlaw, Bo	NBA	ORL	2006-2007	Season Start
156	B. Outlaw	Outlaw, Bo	NBA	ORL	2006-2007	Season Start
158	J. Nelson	Nelson, Jameer	NBA	ORL	2006-2007	Season Start
158	Nelson	Nelson, Jameer	NBA	ORL	2006-2007	Season Start
159	Harrison	Harrison, David	NBA	IND	2006-2007	Season Start
160	Cato	Cato, Kelvin	NBA	NYK	2006-2007	Season Start
161	Garrity	Garrity, Garrity	NBA	ORL	2006-2007	Season Start
163	R. Evans	Evans, Reggie	NBA	DEN	2006-2007	Season Start
163	Evans	Evans, Reggie	NBA	DEN	2006-2007	Season Start
164	Kaman	Kaman, Chris	NBA	LAC	2006-2007	Season Start
165	Cassell	Cassell, Sam	NBA	LAC	2006-2007	Season Start
166	Allen	Allen, Ray	NBA	SEA	2006-2007	Season Start
166	W. Allen	Allen, Ray	NBA	SEA	2006-2007	20061231BOSSEA
166	R. Allen	Allen, Ray	NBA	SEA	2006-2007	Season Start
167	Brand	Brand, Elton	NBA	LAC	2006-2007	Season Start
168	Petro	Petro, Johan	NBA	SEA	2006-2007	Season Start
169	Ross	Ross, Quinton	NBA	LAC	2006-2007	Season Start
170	Lewis	Lewis, Rashard	NBA	SEA	2006-2007	Season Start
170	R. Lewis	Lewis, Rashard	NBA	SEA	2006-2007	Season Start
171	Mobley	Mobley, Cuttino	NBA	LAC	2006-2007	Season Start
172	Collison	Collison, Nick	NBA	SEA	2006-2007	Season Start
173	Ridnour	Ridnour, Luke	NBA	SEA	2006-2007	Season Start
174	Murray	Murray, Ronald (Flip)	NBA	DET	2006-2007	Season Start
174	F. Murray	Murray, Ronald (Flip)	NBA	DET	2006-2007	Season Start
175	Fortson	Fortson, Danny	NBA	SEA	2006-2007	Season Start
176	Wilkins	Wilkins, Damien	NBA	SEA	2006-2007	Season Start
177	D. Ewing	Ewing, Daniel	NBA	LAC	2006-2007	Season Start
177	Ewing	Ewing, Daniel	NBA	LAC	2006-2007	Season Start
178	Singleton	Singleton, James	NBA	LAC	2006-2007	Season Start
180	Radmanovic	Radmanovic, Vladimir	NBA	LAL	2006-2007	Season Start
181	Wilcox	Wilcox, Chris	NBA	SEA	2006-2007	Season Start
183	Rebraca	Rebraca, Zeljko	NBA	LAC	2006-2007	Season Start
185	Parker	Parker, William (Smush)	NBA	LAL	2006-2007	Season Start
185	W. Parker	Parker, William (Smush)	NBA	LAL	2006-2007	20061117TORLAL
185	S. Parker	Parker, William (Smush)	NBA	LAL	2006-2007	Season Start
186	Bryant	Bryant, Kobe	NBA	LAL	2006-2007	Season Start
186	K. Bryant	Bryant, Kobe	NBA	LAL	2006-2007	Season Start
187	Odom	Odom, Lamar	NBA	LAL	2006-2007	Season Start
188	Mihm	Mihm, Chris	NBA	LAL	2006-2007	Season Start
189	K. Brown	Brown, Kwame	NBA	LAL	2006-2007	Season Start
189	Brown	Brown, Kwame	NBA	LAL	2006-2007	Season Start
190	George	George, Devean	NBA	DAL	2006-2007	Season Start
191	Cook	Cook, Brian	NBA	LAL	2006-2007	Season Start
192	McKie	McKie, Aaron	NBA	LAL	2006-2007	Season Start
193	Vujacic	Vujacic, Sasha	NBA	LAL	2006-2007	Season Start
194	A. Bynum	Bynum, Andrew	NBA	LAL	2006-2007	Season Start
194	Bynum	Bynum, Andrew	NBA	LAL	2006-2007	Season Start
196	Williams	Williams, Jason	NBA	MIA	2006-2007	Season Start
196	J. Williams	Williams, Jason	NBA	MIA	2006-2007	Season Start
197	Gasol	Gasol, Pau	NBA	MEM	2006-2007	Season Start
198	Battier	Battier, Shane	NBA	HOU	2006-2007	Season Start
199	Wright	Wright, Lorenzen	NBA	ATL	2006-2007	Season Start
199	L. Wright	Wright, Lorenzen	NBA	ATL	2006-2007	Season Start
200	Walker	Walker, Antoine	NBA	MIA	2006-2007	Season Start
200	A. Walker	Walker, Antoine	NBA	MIA	2006-2007	Season Start
201	Haslem	Haslem, Udonis	NBA	MIA	2006-2007	Season Start
202	E. Jones	Jones, Eddie	NBA	MEM	2006-2007	Season Start
202	JonesOut	Jones, Eddie	NBA	MEM	2006-2007	20061101NYKMEM
